date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:27:01	108523/108523	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Apr%202026%2019:27:01%20GMT	https://nexa.law/	C:/My%20Web%20Sites/nextlaw/nexa.law/index.html	(from )
20:27:01	141/141	---MCZ	200	added ('OK')	text/plain	date:Thu,%2016%20Apr%202026%2015:51:03%20GMT	https://nexa.law/robots.txt		(from )
20:27:04	26971/26971	---M-Z	200	added ('OK')	application/javascript	etag:W/%22695b-oge728K/sTfxjGlCsvC2aPr2DgA%22	https://cdn.jsdelivr.net/npm/alpinejs@2.8.2/dist/alpine.min.js	C:/My%20Web%20Sites/nextlaw/cdn.jsdelivr.net/npm/alpinejs@2.8.2/dist/alpine.min.js	(from https://nexa.law/)
20:27:05	9557/9557	---M-Z	200	added ('OK')	text/css	date:Thu,%2016%20Apr%202026%2019:27:06%20GMT	https://use.typekit.net/yij8iin.css	C:/My%20Web%20Sites/nextlaw/use.typekit.net/yij8iin.css	(from https://nexa.law/)
20:27:06	87533/87533	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-155ed%22	https://code.jquery.com/jquery-3.7.1.min.js	C:/My%20Web%20Sites/nextlaw/code.jquery.com/jquery-3.7.1.min.js	(from https://nexa.law/)
20:27:06	28765/28765	---M-Z	200	added ('OK')	text/css	etag:W/%22705d-miajSdIaS4cfRd/RJKQ/raT5S5g%22	https://cdn.jsdelivr.net/npm/aos@3.0.0-beta.6/dist/aos.css	C:/My%20Web%20Sites/nextlaw/cdn.jsdelivr.net/npm/aos@3.0.0-beta.6/dist/aos.css	(from https://nexa.law/)
20:27:08	13800/13800	---M-Z	200	added ('OK')	application/javascript	etag:W/%2235e8-44lQwbzmXp8EjjBbNWf/kKDJI+M%22	https://cdn.jsdelivr.net/npm/aos@3.0.0-beta.6/dist/aos.js	C:/My%20Web%20Sites/nextlaw/cdn.jsdelivr.net/npm/aos@3.0.0-beta.6/dist/aos.js	(from https://nexa.law/)
20:27:09	258377/258377	---MCZ	200	added ('OK')	text/javascript	etag:W/%2233c7a550180be57a9112dd5a7f8bb4bc%22	https://cdn-eu.pagesense.io/js/20099336042/b95f2b98e52e4a19af0bcdaf2459e7d0.js	C:/My%20Web%20Sites/nextlaw/cdn-eu.pagesense.io/js/20099336042/b95f2b98e52e4a19af0bcdaf2459e7d0.js	(from https://nexa.law/)
20:27:10	2007/2007	---MCZ	200	added ('OK')	application/json	date:Thu,%2016%20Apr%202026%2019:27:11%20GMT	https://nexa.law/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fnexa.law%2F	C:/My%20Web%20Sites/nextlaw/nexa.law/wp-json/oembed/1.0/embed912c.json	(from https://nexa.law/)
20:27:11	2147/2147	---MCZ	200	added ('OK')	text/xml	date:Thu,%2016%20Apr%202026%2019:27:12%20GMT	https://nexa.law/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fnexa.law%2F&format=xml	C:/My%20Web%20Sites/nextlaw/nexa.law/wp-json/oembed/1.0/embed37bb	(from https://nexa.law/)
